hello,你好
hi,喂；你好
good morning,早上好
good afternoon,下午好
good evening,晚上好
goodbye,再见
bye,再见
I,我
am,是（be动词）
is,是（be动词）
name,名字
my,我的
your,你的
what,什么
and,和
you,你
sir,先生
madam,女士
this,这；这个
he,他
she,她
boy,男孩
girl,man,男人
woman,女人
teacher,老师
student,学生
friend,朋友
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
zero,零
eleven,十一
twelve,十二
thirteen,十三
fourteen,十四
fifteen,十五
sixteen,十六
seventeen,十七
eighteen,十八
nineteen,十九
twenty,二十
apple,苹果
banana,香蕉
orange,橙子
cake,蛋糕
juice,果汁
milk,牛奶
water,水
bread,面包
egg,鸡蛋
rice,米饭
tea,茶
cat,猫
dog,狗
bird,鸟
panda,熊猫
rabbit,兔子
duck,鸭子
pen,钢笔
pencil,铅笔
book,书
ruler,尺子
eraser,橡皮
bag,书包
desk,书桌
chair,椅子
door,门
window,窗户
on,在...上面
in,在...里面
under,在...下面
come in,进来
sit down,坐下
stand up,起立
open,打开
close,关闭
red,红色的
blue,蓝色的
green,绿色的
yellow,黄色的
white,白色的
black,黑色的
a,一个（不定冠词）
an,一个（不定冠词）
