sunny,晴朗的
cloudy,多云的
rainy,下雨的
windy,多风的
snowy,下雪的
weather,天气
how's the weather,天气怎么样
cold,冷的
hot,热的
cool,凉爽的
warm,温暖的
spring,春天
summer,夏天
autumn,秋天
winter,冬天
season,季节
first,第一
second,第二
third,第三
fourth,第四
fifth,第五
sixth,第六
seventh,第七
eighth,第八
ninth,第九
tenth,第十
month,月
January,一月
February,二月
March,三月
April,四月
May,五月
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
when,什么时候
date,日期
birthday,生日
party,聚会
present,礼物
card,卡片
send,寄；送
get,得到；收到
make,制作
buy,买
clean,打扫
wash,洗
cook,做饭
climb,爬
mountain,山
river,河流
lake,湖泊
sea,大海
forest,森林
field,田野
farm,农场
zoo,动物园
park,公园
swimming pool,游泳池
cinema,电影院
hospital,医院
post office,邮局
supermarket,超市
museum,博物馆
station,车站
bank,银行
shop,商店
near,在...附近
far,远的
walk,步行；走路
drive,驾车
by bus,乘公交车
by taxi,乘出租车
by train,乘火车
by plane,乘飞机
by boat,乘船
on foot,步行
