father,爸爸
mother,妈妈
brother,兄弟
sister,姐妹
grandma,奶奶；外婆
grandpa,爷爷；外公
aunt,姑妈；阿姨
uncle,叔叔；伯伯
family,家庭
twenty-one,二十一
thirty,三十
forty,四十
fifty,五十
sixty,六十
seventy,七十
eighty,八十
ninety,九十
one hundred,一百
happy,高兴的
sad,悲伤的
angry,生气的
hungry,饥饿的
thirsty,口渴的
tired,疲倦的
ill,生病的
fine,好的
well,健康的
how,怎么样；如何
today,今天
tomorrow,明天
yesterday,昨天
good,好的
bad,坏的
big,大的
small,小的
long,长的
short,短的
new,新的
old,旧的
colour,颜色
red,红色的
blue,蓝色的
green,绿色的
yellow,黄色的
purple,紫色的
pink,粉色的
brown,棕色的
grey,灰色的
head,头
face,脸
eye,眼睛
ear,耳朵
nose,鼻子
mouth,嘴巴
hand,手
foot,脚
arm,手臂
leg,腿
body,身体
hair,头发
have,有
look,看
look at,看一看
touch,触摸
point to,指向
sing,唱歌
dance,跳舞
run,跑
jump,跳
walk,走
climb,爬
swim,游泳
fly,飞
can,能；会
can't,不能；不会
car,小汽车
bike,自行车
bus,公共汽车
train,火车
plane,飞机
boat,船
go home,回家
go to school,去上学
come,来
go,去
home,家
school,学校
park,公园
zoo,动物园
