teacher,老师
student,学生
friend,朋友
boy,男孩
girl,女孩
man,男人
woman,女人
Mr.,先生
Miss,小姐
this,这；这个
that,那；那个
it,它
what,什么
who,谁
how,怎么样；如何
old,老的；年龄大的
happy,快乐的
fine,好的
thanks,谢谢
thank you,谢谢你
me,我（宾格）
we,我们
you,你；你们
they,他们；她们；它们
us,我们（宾格）
them,他们；她们；它们（宾格）
your,你的；你们的
our,我们的
their,他们的；她们的；它们的
eleven,十一
twelve,十二
thirteen,十三
fourteen,十四
fifteen,十五
sixteen,十六
seventeen,十七
eighteen,十八
nineteen,十九
twenty,二十
zero,零
colour,颜色
white,白色
black,黑色
purple,紫色
pink,粉色
brown,棕色
grey,灰色
head,头
face,脸
eye,眼睛
ear,耳朵
nose,鼻子
mouth,嘴巴
hand,手
foot,脚
arm,手臂
leg,腿
body,身体
hair,头发
new,新的
old,旧的
long,长的
short,短的
hot,热的
cold,冷的
nice,好的；漂亮的
have,有
look,看
look at,看一看
touch,触摸
point to,指向
sing,唱歌
dance,跳舞
run,跑
jump,跳
walk,走
stop,停
go,走；去
car,小汽车
bike,自行车
bus,公共汽车
plane,飞机
train,火车
boat,船
home,家
school,学校
park,公园
zoo,动物园
house,房子
flat,公寓
room,房间
kitchen,厨房
bedroom,卧室
bathroom,卫生间
living room,客厅
