hello,你好
hi,喂；你好
I,我
am,是（动词原形为be）
my,我的
name,名字
is,是
good morning,早上好
good afternoon,下午好
good evening,晚上好
goodbye,再见
bye,再见
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
cat,猫
dog,狗
bird,鸟
panda,熊猫
apple,苹果
banana,香蕉
orange,橙子
cake,蛋糕
juice,果汁
milk,牛奶
water,水
red,红色的
blue,蓝色的
green,绿色的
yellow,黄色的
big,大的
small,小的
up,向上
down,向下
in,在...里面
on,在...上面
a,一个（不定冠词）
an,一个（不定冠词）
and,和
you,你
she,她
he,他
this,这
that,那
pen,钢笔
pencil,铅笔
book,书
eraser,橡皮
ruler,尺子
bag,书包
table,桌子
chair,椅子
door,门
window,窗户
open,打开
close,关闭
come,来
go,去
stand up,起立
sit down,坐下
mother,妈妈
father,爸爸
brother,兄弟
sister,姐妹
family,家庭
